0,1
American Eagle Airlines Inc.,0.04059832660661774
Comair Inc.,0.03310794068502934
Atlantic Southeast Airlines,0.032601899162408715
Independence Air,0.03199782987301006
United Air Lines Inc.,0.027924193799912997
Alaska Airlines Inc.,0.02787982829028393
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),0.026778563676509114
Aloha Airlines Inc.,0.02563469784372397
Delta Air Lines Inc.,0.024081516909377525
American Airlines Inc.,0.023841496719940073
Trans World Airways LLC,0.021492540812578637
America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),0.02101838467400487
Expressjet Airlines Inc.,0.01953788620133945
Northwest Airlines Inc.,0.01919292471193595
Skywest Airlines Inc.,0.018816827719762532
Continental Air Lines Inc.,0.013320496716884914
AirTran Airways Corporation,0.012085944494180842
Southwest Airlines Co.,0.011280948433318252
ATA Airlines d/b/a ATA,0.011015898907943099
JetBlue Airways,0.0063677872778548725
Frontier Airlines Inc.,0.00328607642474885
Hawaiian Airlines Inc.,0.002574670240462672
